datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),wind_speed (m/s),mean_sea_level_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
1970-01-01,"(34.0544, -118.2439)",era5,229.44,-8.00,9.63,-2.23,0.46,1.47,101871.25,0.00,0.00
1970-01-02,"(34.0544, -118.2439)",era5,229.44,-8.00,10.01,-11.49,0.22,2.37,102101.16,0.00,0.00
1970-01-03,"(34.0544, -118.2439)",era5,229.44,-8.00,7.97,-14.19,0.21,2.22,101998.14,0.00,0.00
1970-01-04,"(34.0544, -118.2439)",era5,229.44,-8.00,7.66,-9.91,0.29,1.45,101444.38,0.00,0.00
1970-01-05,"(34.0544, -118.2439)",era5,229.44,-8.00,8.00,-3.15,0.51,2.05,101917.85,0.00,0.00
1970-01-06,"(34.0544, -118.2439)",era5,229.44,-8.00,7.75,-13.54,0.22,2.97,102411.12,0.00,0.00
1970-01-07,"(34.0544, -118.2439)",era5,229.44,-8.00,10.69,-12.66,0.19,2.41,101965.81,0.00,0.00
1970-01-08,"(34.0544, -118.2439)",era5,229.44,-8.00,10.82,-9.44,0.24,1.69,101598.44,0.00,0.00
1970-01-09,"(34.0544, -118.2439)",era5,229.44,-8.00,12.25,0.54,0.45,2.21,101754.17,0.14,0.00
1970-01-10,"(34.0544, -118.2439)",era5,229.44,-8.00,11.65,8.66,0.82,2.44,101914.88,0.44,0.00
1970-01-11,"(34.0544, -118.2439)",era5,229.44,-8.00,12.08,9.92,0.87,1.40,102089.77,0.23,0.00
1970-01-12,"(34.0544, -118.2439)",era5,229.44,-8.00,12.96,10.75,0.87,1.28,101875.04,0.02,0.00
1970-01-13,"(34.0544, -118.2439)",era5,229.44,-8.00,13.33,10.65,0.84,1.02,102145.33,0.01,0.00
1970-01-14,"(34.0544, -118.2439)",era5,229.44,-8.00,13.10,11.02,0.87,1.34,102103.00,0.08,0.00
1970-01-15,"(34.0544, -118.2439)",era5,229.44,-8.00,13.62,11.96,0.90,0.93,101785.93,0.14,0.00
1970-01-16,"(34.0544, -118.2439)",era5,229.44,-8.00,13.68,12.35,0.92,1.50,102024.56,0.43,0.00
1970-01-17,"(34.0544, -118.2439)",era5,229.44,-8.00,14.64,12.37,0.87,1.27,101974.83,0.09,0.00
1970-01-18,"(34.0544, -118.2439)",era5,229.44,-8.00,12.40,8.63,0.78,1.35,101908.99,0.00,0.00
1970-01-19,"(34.0544, -118.2439)",era5,229.44,-8.00,13.26,9.64,0.79,1.15,102033.10,0.00,0.00
1970-01-20,"(34.0544, -118.2439)",era5,229.44,-8.00,14.42,10.89,0.80,0.94,102076.39,0.01,0.00
1970-01-21,"(34.0544, -118.2439)",era5,229.44,-8.00,14.09,10.55,0.80,1.13,102236.09,0.00,0.00
1970-01-22,"(34.0544, -118.2439)",era5,229.44,-8.00,14.82,11.83,0.83,0.99,102231.98,0.01,0.00
1970-01-23,"(34.0544, -118.2439)",era5,229.44,-8.00,14.10,11.67,0.86,0.88,101963.58,0.00,0.00
1970-01-24,"(34.0544, -118.2439)",era5,229.44,-8.00,13.83,11.84,0.88,1.24,101954.84,0.08,0.00
1970-01-25,"(34.0544, -118.2439)",era5,229.44,-8.00,13.15,9.59,0.80,1.16,101976.81,0.02,0.00
1970-01-26,"(34.0544, -118.2439)",era5,229.44,-8.00,11.87,7.38,0.75,1.26,101914.14,0.00,0.00
1970-01-27,"(34.0544, -118.2439)",era5,229.44,-8.00,12.23,8.87,0.81,1.14,101885.58,0.00,0.00
1970-01-28,"(34.0544, -118.2439)",era5,229.44,-8.00,11.90,3.89,0.62,2.93,101917.98,0.00,0.00
1970-01-29,"(34.0544, -118.2439)",era5,229.44,-8.00,10.96,-5.07,0.35,3.25,102443.99,0.00,0.00
1970-01-30,"(34.0544, -118.2439)",era5,229.44,-8.00,9.88,-3.17,0.42,2.07,102231.49,0.00,0.00
1970-01-31,"(34.0544, -118.2439)",era5,229.44,-8.00,11.50,2.43,0.57,2.34,102101.44,0.00,0.00
1970-02-01,"(34.0544, -118.2439)",era5,229.44,-8.00,12.48,3.97,0.57,1.53,102068.31,0.00,0.00
1970-02-02,"(34.0544, -118.2439)",era5,229.44,-8.00,13.17,0.48,0.49,2.39,102183.92,0.00,0.00
1970-02-03,"(34.0544, -118.2439)",era5,229.44,-8.00,12.58,-5.26,0.30,1.81,102337.13,0.00,0.00
1970-02-04,"(34.0544, -118.2439)",era5,229.44,-8.00,12.94,0.24,0.43,1.48,101307.27,0.00,0.00
1970-02-05,"(34.0544, -118.2439)",era5,229.44,-8.00,12.66,6.84,0.70,1.52,101666.15,0.00,0.00
1970-02-06,"(34.0544, -118.2439)",era5,229.44,-8.00,12.01,5.58,0.68,1.19,101943.02,0.00,0.00
1970-02-07,"(34.0544, -118.2439)",era5,229.44,-8.00,14.36,2.51,0.49,1.82,101683.51,0.00,0.00
1970-02-08,"(34.0544, -118.2439)",era5,229.44,-8.00,15.65,2.23,0.43,2.27,101443.04,0.00,0.00
1970-02-09,"(34.0544, -118.2439)",era5,229.44,-8.00,15.15,7.06,0.60,2.28,101293.43,0.00,0.00
1970-02-10,"(34.0544, -118.2439)",era5,229.44,-8.00,14.48,12.32,0.87,3.14,101476.10,1.15,0.00
1970-02-11,"(34.0544, -118.2439)",era5,229.44,-8.00,14.89,13.03,0.89,1.61,101694.61,0.20,0.00
1970-02-12,"(34.0544, -118.2439)",era5,229.44,-8.00,13.86,11.48,0.86,1.26,102127.57,0.01,0.00
1970-02-13,"(34.0544, -118.2439)",era5,229.44,-8.00,13.23,10.32,0.83,1.56,101955.51,0.00,0.00
1970-02-14,"(34.0544, -118.2439)",era5,229.44,-8.00,13.74,9.36,0.77,1.40,101612.58,0.01,0.00
1970-02-15,"(34.0544, -118.2439)",era5,229.44,-8.00,13.55,6.91,0.67,1.49,101961.36,0.00,0.00
1970-02-16,"(34.0544, -118.2439)",era5,229.44,-8.00,13.62,7.06,0.67,1.66,101952.24,0.00,0.00
1970-02-17,"(34.0544, -118.2439)",era5,229.44,-8.00,13.33,8.18,0.73,1.38,101904.40,0.02,0.00
1970-02-18,"(34.0544, -118.2439)",era5,229.44,-8.00,12.81,2.02,0.52,2.82,101985.11,0.00,0.00
1970-02-19,"(34.0544, -118.2439)",era5,229.44,-8.00,13.93,-2.87,0.35,4.75,101992.97,0.00,0.00
1970-02-20,"(34.0544, -118.2439)",era5,229.44,-8.00,14.71,-7.88,0.21,4.34,101467.31,0.00,0.00
1970-02-21,"(34.0544, -118.2439)",era5,229.44,-8.00,13.15,4.06,0.55,2.26,101945.39,0.00,0.00
1970-02-22,"(34.0544, -118.2439)",era5,229.44,-8.00,11.99,3.46,0.60,1.44,102266.84,0.00,0.00
1970-02-23,"(34.0544, -118.2439)",era5,229.44,-8.00,13.69,2.98,0.52,1.82,102061.16,0.00,0.00
1970-02-24,"(34.0544, -118.2439)",era5,229.44,-8.00,14.98,4.40,0.52,1.95,101834.54,0.00,0.00
1970-02-25,"(34.0544, -118.2439)",era5,229.44,-8.00,15.16,2.75,0.50,1.88,102046.16,0.00,0.00
1970-02-26,"(34.0544, -118.2439)",era5,229.44,-8.00,16.30,1.84,0.40,1.85,101671.68,0.00,0.00
1970-02-27,"(34.0544, -118.2439)",era5,229.44,-8.00,13.53,6.38,0.64,2.09,101450.11,0.00,0.00
1970-02-28,"(34.0544, -118.2439)",era5,229.44,-8.00,13.74,10.79,0.83,4.13,101075.39,1.71,0.00
1970-03-01,"(34.0544, -118.2439)",era5,229.44,-8.00,13.02,11.47,0.90,3.28,100704.74,1.45,0.00
1970-03-02,"(34.0544, -118.2439)",era5,229.44,-8.00,12.97,9.94,0.82,2.12,100837.02,0.57,0.00
1970-03-03,"(34.0544, -118.2439)",era5,229.44,-8.00,11.86,7.67,0.76,2.10,101609.26,0.02,0.00
1970-03-04,"(34.0544, -118.2439)",era5,229.44,-8.00,10.85,7.19,0.79,1.85,101676.34,0.06,0.00
1970-03-05,"(34.0544, -118.2439)",era5,229.44,-8.00,10.78,6.46,0.77,2.57,101082.14,0.91,0.00
1970-03-06,"(34.0544, -118.2439)",era5,229.44,-8.00,13.06,6.59,0.67,1.43,101901.02,0.00,0.00
1970-03-07,"(34.0544, -118.2439)",era5,229.44,-8.00,13.58,8.24,0.72,1.57,102126.46,0.00,0.00
1970-03-08,"(34.0544, -118.2439)",era5,229.44,-8.00,13.15,8.99,0.77,1.43,101642.53,0.01,0.00
1970-03-09,"(34.0544, -118.2439)",era5,229.44,-8.00,12.69,8.14,0.75,2.19,101232.77,0.02,0.00
1970-03-10,"(34.0544, -118.2439)",era5,229.44,-8.00,12.53,7.33,0.72,2.44,101004.70,0.02,0.00
1970-03-11,"(34.0544, -118.2439)",era5,229.44,-8.00,11.54,5.44,0.67,2.02,101329.14,0.00,0.00
1970-03-12,"(34.0544, -118.2439)",era5,229.44,-8.00,12.99,7.52,0.71,1.28,101845.88,0.00,0.00
1970-03-13,"(34.0544, -118.2439)",era5,229.44,-8.00,15.41,8.30,0.67,1.44,102025.10,0.00,0.00
1970-03-14,"(34.0544, -118.2439)",era5,229.44,-8.00,16.90,8.84,0.62,1.70,101844.74,0.00,0.00
1970-03-15,"(34.0544, -118.2439)",era5,229.44,-8.00,17.01,9.67,0.64,2.01,101382.01,0.00,0.00
1970-03-16,"(34.0544, -118.2439)",era5,229.44,-8.00,16.81,7.59,0.59,2.05,101402.85,0.00,0.00
1970-03-17,"(34.0544, -118.2439)",era5,229.44,-8.00,15.30,8.70,0.66,1.66,101468.74,0.00,0.00
1970-03-18,"(34.0544, -118.2439)",era5,229.44,-8.00,14.23,3.70,0.56,2.62,101277.20,0.00,0.00
1970-03-19,"(34.0544, -118.2439)",era5,229.44,-8.00,13.21,-3.66,0.34,3.07,101711.36,0.00,0.00
1970-03-20,"(34.0544, -118.2439)",era5,229.44,-8.00,14.26,-2.40,0.36,1.95,101816.98,0.00,0.00
1970-03-21,"(34.0544, -118.2439)",era5,229.44,-8.00,14.69,1.63,0.44,1.98,101947.67,0.00,0.00
1970-03-22,"(34.0544, -118.2439)",era5,229.44,-8.00,15.33,5.74,0.57,1.60,101786.34,0.00,0.00
1970-03-23,"(34.0544, -118.2439)",era5,229.44,-8.00,16.05,6.03,0.55,1.52,101709.47,0.00,0.00
1970-03-24,"(34.0544, -118.2439)",era5,229.44,-8.00,16.57,6.98,0.56,1.69,101648.78,0.00,0.00
1970-03-25,"(34.0544, -118.2439)",era5,229.44,-8.00,16.41,9.00,0.63,1.51,101504.37,0.00,0.00
1970-03-26,"(34.0544, -118.2439)",era5,229.44,-8.00,15.19,9.54,0.70,1.83,101156.27,0.01,0.00
1970-03-27,"(34.0544, -118.2439)",era5,229.44,-8.00,15.34,5.00,0.58,1.83,101085.09,0.02,0.00
1970-03-28,"(34.0544, -118.2439)",era5,229.44,-8.00,15.52,1.86,0.42,2.20,101708.78,0.00,0.00
1970-03-29,"(34.0544, -118.2439)",era5,229.44,-8.00,14.65,7.65,0.64,2.30,101077.18,0.00,0.00
1970-03-30,"(34.0544, -118.2439)",era5,229.44,-8.00,13.68,9.28,0.76,2.63,100665.54,0.05,0.00
1970-03-31,"(34.0544, -118.2439)",era5,229.44,-8.00,13.47,7.07,0.69,1.84,100966.09,0.01,0.00
1970-04-01,"(34.0544, -118.2439)",era5,229.44,-8.00,14.75,-1.47,0.39,2.02,101830.42,0.00,0.00
1970-04-02,"(34.0544, -118.2439)",era5,229.44,-8.00,14.99,-1.41,0.36,2.19,101814.22,0.00,0.00
1970-04-03,"(34.0544, -118.2439)",era5,229.44,-8.00,15.69,3.02,0.45,1.38,101400.33,0.00,0.00
1970-04-04,"(34.0544, -118.2439)",era5,229.44,-8.00,17.54,-0.69,0.33,1.71,101721.59,0.00,0.00
1970-04-05,"(34.0544, -118.2439)",era5,229.44,-8.00,18.55,-3.19,0.26,2.22,101662.56,0.00,0.00
1970-04-06,"(34.0544, -118.2439)",era5,229.44,-8.00,17.63,-1.76,0.28,2.41,101221.73,0.00,0.00
1970-04-07,"(34.0544, -118.2439)",era5,229.44,-8.00,15.47,8.49,0.66,2.20,101436.63,0.00,0.00
1970-04-08,"(34.0544, -118.2439)",era5,229.44,-8.00,14.74,8.27,0.68,1.73,101856.41,0.00,0.00
1970-04-09,"(34.0544, -118.2439)",era5,229.44,-8.00,16.51,7.19,0.57,1.60,101815.67,0.00,0.00
1970-04-10,"(34.0544, -118.2439)",era5,229.44,-8.00,18.64,7.34,0.50,1.83,101663.08,0.00,0.00
1970-04-11,"(34.0544, -118.2439)",era5,229.44,-8.00,19.54,7.69,0.51,1.73,101339.06,0.00,0.00
1970-04-12,"(34.0544, -118.2439)",era5,229.44,-8.00,18.35,4.42,0.42,1.90,101133.02,0.00,0.00
1970-04-13,"(34.0544, -118.2439)",era5,229.44,-8.00,15.91,7.99,0.63,2.87,101051.01,0.01,0.00
1970-04-14,"(34.0544, -118.2439)",era5,229.44,-8.00,12.14,1.52,0.51,4.69,101402.22,0.00,0.00
1970-04-15,"(34.0544, -118.2439)",era5,229.44,-8.00,12.29,3.09,0.55,2.31,101464.04,0.00,0.00
1970-04-16,"(34.0544, -118.2439)",era5,229.44,-8.00,12.21,4.46,0.60,1.99,101265.78,0.00,0.00
1970-04-17,"(34.0544, -118.2439)",era5,229.44,-8.00,11.87,5.82,0.68,1.95,101450.17,0.02,0.00
1970-04-18,"(34.0544, -118.2439)",era5,229.44,-8.00,14.26,7.23,0.65,2.21,101755.00,0.00,0.00
1970-04-19,"(34.0544, -118.2439)",era5,229.44,-8.00,14.47,7.96,0.67,2.21,101795.02,0.00,0.00
1970-04-20,"(34.0544, -118.2439)",era5,229.44,-8.00,15.46,6.41,0.57,1.78,101274.02,0.00,0.00
1970-04-21,"(34.0544, -118.2439)",era5,229.44,-8.00,12.87,3.73,0.56,3.37,100962.30,0.02,0.00
1970-04-22,"(34.0544, -118.2439)",era5,229.44,-8.00,11.90,2.30,0.55,2.47,101683.52,0.00,0.00
1970-04-23,"(34.0544, -118.2439)",era5,229.44,-8.00,14.29,1.83,0.48,1.84,102048.01,0.00,0.00
1970-04-24,"(34.0544, -118.2439)",era5,229.44,-8.00,15.11,1.77,0.43,2.00,101825.34,0.00,0.00
1970-04-25,"(34.0544, -118.2439)",era5,229.44,-8.00,16.50,4.07,0.46,1.95,101524.33,0.00,0.00
1970-04-26,"(34.0544, -118.2439)",era5,229.44,-8.00,15.63,8.64,0.65,2.83,101182.94,0.01,0.00
1970-04-27,"(34.0544, -118.2439)",era5,229.44,-8.00,13.14,3.98,0.58,4.31,101066.65,0.02,0.00
1970-04-28,"(34.0544, -118.2439)",era5,229.44,-8.00,11.61,-0.61,0.46,3.60,101377.54,0.01,0.00
1970-04-29,"(34.0544, -118.2439)",era5,229.44,-8.00,12.82,-0.89,0.43,2.45,101859.73,0.01,0.00
1970-04-30,"(34.0544, -118.2439)",era5,229.44,-8.00,15.13,0.83,0.39,2.24,102003.71,0.00,0.00
1970-05-01,"(34.0544, -118.2439)",era5,229.44,-8.00,17.91,3.82,0.44,1.51,102062.17,0.00,0.00
1970-05-02,"(34.0544, -118.2439)",era5,229.44,-8.00,21.69,-2.09,0.24,2.31,102078.39,0.00,0.00
1970-05-03,"(34.0544, -118.2439)",era5,229.44,-8.00,23.10,-5.28,0.16,2.36,101502.11,0.00,0.00
1970-05-04,"(34.0544, -118.2439)",era5,229.44,-8.00,20.62,-0.01,0.26,1.89,101376.76,0.00,0.00
1970-05-05,"(34.0544, -118.2439)",era5,229.44,-8.00,16.98,6.65,0.53,1.96,101718.34,0.00,0.00
1970-05-06,"(34.0544, -118.2439)",era5,229.44,-8.00,14.68,7.15,0.63,2.31,101776.49,0.00,0.00
1970-05-07,"(34.0544, -118.2439)",era5,229.44,-8.00,14.12,6.76,0.63,2.14,101754.67,0.00,0.00
1970-05-08,"(34.0544, -118.2439)",era5,229.44,-8.00,15.62,7.61,0.61,2.03,101585.40,0.00,0.00
1970-05-09,"(34.0544, -118.2439)",era5,229.44,-8.00,17.40,9.70,0.62,1.98,101337.02,0.00,0.00
1970-05-10,"(34.0544, -118.2439)",era5,229.44,-8.00,17.38,10.57,0.67,2.25,101102.83,0.00,0.00
1970-05-11,"(34.0544, -118.2439)",era5,229.44,-8.00,16.60,8.51,0.61,2.51,101116.25,0.00,0.00
1970-05-12,"(34.0544, -118.2439)",era5,229.44,-8.00,16.39,6.53,0.55,2.09,101535.43,0.00,0.00
1970-05-13,"(34.0544, -118.2439)",era5,229.44,-8.00,18.15,6.48,0.49,1.91,101612.67,0.00,0.00
1970-05-14,"(34.0544, -118.2439)",era5,229.44,-8.00,21.94,7.30,0.46,1.61,101319.35,0.00,0.00
1970-05-15,"(34.0544, -118.2439)",era5,229.44,-8.00,26.95,-0.49,0.19,2.20,101277.06,0.00,0.00
1970-05-16,"(34.0544, -118.2439)",era5,229.44,-8.00,25.35,3.92,0.27,1.93,101444.40,0.00,0.00
1970-05-17,"(34.0544, -118.2439)",era5,229.44,-8.00,23.84,6.87,0.37,1.89,101448.65,0.00,0.00
1970-05-18,"(34.0544, -118.2439)",era5,229.44,-8.00,21.97,5.98,0.37,2.16,101273.46,0.00,0.00
1970-05-19,"(34.0544, -118.2439)",era5,229.44,-8.00,18.64,8.02,0.53,1.94,101434.41,0.00,0.00
1970-05-20,"(34.0544, -118.2439)",era5,229.44,-8.00,17.24,8.17,0.57,2.20,101423.75,0.00,0.00
1970-05-21,"(34.0544, -118.2439)",era5,229.44,-8.00,17.44,8.32,0.57,1.95,101336.37,0.00,0.00
1970-05-22,"(34.0544, -118.2439)",era5,229.44,-8.00,18.76,10.28,0.60,1.84,101338.54,0.00,0.00
1970-05-23,"(34.0544, -118.2439)",era5,229.44,-8.00,18.99,11.81,0.65,1.96,101245.47,0.00,0.00
1970-05-24,"(34.0544, -118.2439)",era5,229.44,-8.00,18.20,11.74,0.67,2.15,101268.34,0.00,0.00
1970-05-25,"(34.0544, -118.2439)",era5,229.44,-8.00,17.84,11.41,0.67,1.99,101480.50,0.00,0.00
1970-05-26,"(34.0544, -118.2439)",era5,229.44,-8.00,17.07,10.90,0.68,2.06,101651.71,0.00,0.00
1970-05-27,"(34.0544, -118.2439)",era5,229.44,-8.00,16.63,11.22,0.72,2.19,101452.30,0.01,0.00
1970-05-28,"(34.0544, -118.2439)",era5,229.44,-8.00,15.84,10.22,0.70,2.27,101352.23,0.00,0.00
1970-05-29,"(34.0544, -118.2439)",era5,229.44,-8.00,17.16,10.68,0.68,1.84,101337.35,0.00,0.00
1970-05-30,"(34.0544, -118.2439)",era5,229.44,-8.00,19.31,11.07,0.61,1.75,101294.50,0.00,0.00
1970-05-31,"(34.0544, -118.2439)",era5,229.44,-8.00,20.60,11.80,0.59,1.68,101209.92,0.00,0.00
1970-06-01,"(34.0544, -118.2439)",era5,229.44,-8.00,22.00,11.62,0.55,1.34,101215.90,0.00,0.00
1970-06-02,"(34.0544, -118.2439)",era5,229.44,-8.00,24.72,10.50,0.44,1.60,101307.49,0.00,0.00
1970-06-03,"(34.0544, -118.2439)",era5,229.44,-8.00,22.93,10.17,0.47,1.79,101191.03,0.00,0.00
1970-06-04,"(34.0544, -118.2439)",era5,229.44,-8.00,20.92,12.45,0.60,2.06,101033.20,0.00,0.00
1970-06-05,"(34.0544, -118.2439)",era5,229.44,-8.00,19.31,11.93,0.64,2.13,101193.50,0.00,0.00
1970-06-06,"(34.0544, -118.2439)",era5,229.44,-8.00,19.56,12.43,0.65,1.94,101352.86,0.00,0.00
1970-06-07,"(34.0544, -118.2439)",era5,229.44,-8.00,19.40,13.23,0.69,2.07,101198.95,0.00,0.00
1970-06-08,"(34.0544, -118.2439)",era5,229.44,-8.00,18.17,12.54,0.71,2.21,101241.27,0.00,0.00
1970-06-09,"(34.0544, -118.2439)",era5,229.44,-8.00,17.08,11.62,0.72,2.12,101531.85,0.00,0.00
1970-06-10,"(34.0544, -118.2439)",era5,229.44,-8.00,17.93,12.85,0.73,2.39,101291.39,0.02,0.00
1970-06-11,"(34.0544, -118.2439)",era5,229.44,-8.00,19.04,11.71,0.65,2.27,101003.67,0.00,0.00
1970-06-12,"(34.0544, -118.2439)",era5,229.44,-8.00,17.69,11.34,0.68,2.95,100806.34,0.00,0.00
1970-06-13,"(34.0544, -118.2439)",era5,229.44,-8.00,16.42,10.78,0.70,2.91,101234.72,0.04,0.00
1970-06-14,"(34.0544, -118.2439)",era5,229.44,-8.00,16.43,10.09,0.68,1.87,101764.62,0.00,0.00
1970-06-15,"(34.0544, -118.2439)",era5,229.44,-8.00,17.60,10.53,0.65,2.07,101562.32,0.00,0.00
1970-06-16,"(34.0544, -118.2439)",era5,229.44,-8.00,17.62,11.98,0.71,2.33,101329.31,0.00,0.00
1970-06-17,"(34.0544, -118.2439)",era5,229.44,-8.00,17.98,11.75,0.69,1.80,101439.60,0.00,0.00
1970-06-18,"(34.0544, -118.2439)",era5,229.44,-8.00,19.83,11.04,0.60,1.62,101580.91,0.00,0.00
1970-06-19,"(34.0544, -118.2439)",era5,229.44,-8.00,21.80,12.26,0.57,1.79,101373.75,0.00,0.00
1970-06-20,"(34.0544, -118.2439)",era5,229.44,-8.00,22.77,13.30,0.57,1.84,101079.38,0.00,0.00
1970-06-21,"(34.0544, -118.2439)",era5,229.44,-8.00,22.98,14.39,0.60,1.96,100865.39,0.00,0.00
1970-06-22,"(34.0544, -118.2439)",era5,229.44,-8.00,22.24,13.99,0.61,2.00,100972.39,0.00,0.00
1970-06-23,"(34.0544, -118.2439)",era5,229.44,-8.00,21.22,13.14,0.62,1.83,101308.80,0.00,0.00
1970-06-24,"(34.0544, -118.2439)",era5,229.44,-8.00,22.29,12.89,0.59,1.59,101445.74,0.00,0.00
1970-06-25,"(34.0544, -118.2439)",era5,229.44,-8.00,26.06,12.71,0.47,2.00,101249.66,0.00,0.00
1970-06-26,"(34.0544, -118.2439)",era5,229.44,-8.00,26.84,12.26,0.42,2.17,101019.81,0.00,0.00
1970-06-27,"(34.0544, -118.2439)",era5,229.44,-8.00,22.49,10.53,0.50,2.00,101149.67,0.00,0.00
1970-06-28,"(34.0544, -118.2439)",era5,229.44,-8.00,21.12,10.71,0.54,2.17,100902.48,0.00,0.00
1970-06-29,"(34.0544, -118.2439)",era5,229.44,-8.00,20.50,10.61,0.56,2.19,100848.26,0.00,0.00
1970-06-30,"(34.0544, -118.2439)",era5,229.44,-8.00,21.93,9.42,0.48,1.69,101078.64,0.00,0.00
1970-07-01,"(34.0544, -118.2439)",era5,229.44,-8.00,23.04,11.09,0.49,1.63,101296.97,0.00,0.00
1970-07-02,"(34.0544, -118.2439)",era5,229.44,-8.00,25.75,10.56,0.43,1.65,101392.26,0.00,0.00
1970-07-03,"(34.0544, -118.2439)",era5,229.44,-8.00,27.57,9.93,0.35,2.05,101325.84,0.00,0.00
1970-07-04,"(34.0544, -118.2439)",era5,229.44,-8.00,28.56,12.86,0.40,1.74,101250.11,0.00,0.00
1970-07-05,"(34.0544, -118.2439)",era5,229.44,-8.00,28.41,13.98,0.42,1.75,101108.81,0.00,0.00
1970-07-06,"(34.0544, -118.2439)",era5,229.44,-8.00,25.35,13.86,0.51,1.69,101260.98,0.00,0.00
1970-07-07,"(34.0544, -118.2439)",era5,229.44,-8.00,23.75,13.33,0.53,1.68,101317.80,0.00,0.00
1970-07-08,"(34.0544, -118.2439)",era5,229.44,-8.00,23.14,13.61,0.57,1.76,101298.72,0.00,0.00
1970-07-09,"(34.0544, -118.2439)",era5,229.44,-8.00,22.84,14.13,0.59,1.51,101277.77,0.00,0.00
1970-07-10,"(34.0544, -118.2439)",era5,229.44,-8.00,22.59,14.53,0.62,1.81,101398.64,0.00,0.00
1970-07-11,"(34.0544, -118.2439)",era5,229.44,-8.00,21.63,13.91,0.63,1.84,101582.76,0.00,0.00
1970-07-12,"(34.0544, -118.2439)",era5,229.44,-8.00,21.61,13.50,0.62,1.76,101506.75,0.00,0.00
1970-07-13,"(34.0544, -118.2439)",era5,229.44,-8.00,21.74,13.44,0.62,1.60,101266.20,0.00,0.00
1970-07-14,"(34.0544, -118.2439)",era5,229.44,-8.00,23.31,13.86,0.58,1.78,101122.58,0.00,0.00
1970-07-15,"(34.0544, -118.2439)",era5,229.44,-8.00,22.63,14.46,0.62,1.75,101231.48,0.00,0.00
1970-07-16,"(34.0544, -118.2439)",era5,229.44,-8.00,23.33,14.35,0.60,1.63,101141.12,0.00,0.00
1970-07-17,"(34.0544, -118.2439)",era5,229.44,-8.00,25.02,15.00,0.56,1.73,100825.90,0.00,0.00
1970-07-18,"(34.0544, -118.2439)",era5,229.44,-8.00,24.59,15.26,0.57,1.78,100983.87,0.00,0.00
1970-07-19,"(34.0544, -118.2439)",era5,229.44,-8.00,24.67,14.79,0.56,1.61,101200.28,0.00,0.00
1970-07-20,"(34.0544, -118.2439)",era5,229.44,-8.00,24.83,14.53,0.55,1.80,101219.06,0.00,0.00
1970-07-21,"(34.0544, -118.2439)",era5,229.44,-8.00,24.40,14.97,0.58,1.76,101277.57,0.00,0.00
1970-07-22,"(34.0544, -118.2439)",era5,229.44,-8.00,23.62,13.93,0.57,2.01,101042.42,0.00,0.00
1970-07-23,"(34.0544, -118.2439)",era5,229.44,-8.00,22.16,12.88,0.58,1.72,100936.81,0.00,0.00
1970-07-24,"(34.0544, -118.2439)",era5,229.44,-8.00,21.68,13.54,0.62,1.87,101101.06,0.00,0.00
1970-07-25,"(34.0544, -118.2439)",era5,229.44,-8.00,21.23,13.54,0.63,1.72,101379.82,0.00,0.00
1970-07-26,"(34.0544, -118.2439)",era5,229.44,-8.00,21.26,13.47,0.64,1.64,101312.49,0.00,0.00
1970-07-27,"(34.0544, -118.2439)",era5,229.44,-8.00,22.30,13.05,0.58,1.60,101065.76,0.00,0.00
1970-07-28,"(34.0544, -118.2439)",era5,229.44,-8.00,22.87,13.05,0.57,1.76,100989.90,0.00,0.00
1970-07-29,"(34.0544, -118.2439)",era5,229.44,-8.00,23.35,13.12,0.56,1.71,101332.71,0.00,0.00
1970-07-30,"(34.0544, -118.2439)",era5,229.44,-8.00,23.91,10.76,0.47,1.78,101285.01,0.00,0.00
1970-07-31,"(34.0544, -118.2439)",era5,229.44,-8.00,24.33,8.25,0.38,1.71,100930.52,0.00,0.00
1970-08-01,"(34.0544, -118.2439)",era5,229.44,-8.00,24.57,11.25,0.46,1.62,100909.08,0.00,0.00
1970-08-02,"(34.0544, -118.2439)",era5,229.44,-8.00,24.50,11.07,0.45,1.83,100983.33,0.00,0.00
1970-08-03,"(34.0544, -118.2439)",era5,229.44,-8.00,23.21,12.46,0.53,1.72,100965.38,0.00,0.00
1970-08-04,"(34.0544, -118.2439)",era5,229.44,-8.00,21.38,13.31,0.62,1.85,100965.95,0.00,0.00
1970-08-05,"(34.0544, -118.2439)",era5,229.44,-8.00,21.57,14.17,0.65,1.67,101013.03,0.00,0.00
1970-08-06,"(34.0544, -118.2439)",era5,229.44,-8.00,23.42,14.22,0.60,1.47,100957.49,0.00,0.00
1970-08-07,"(34.0544, -118.2439)",era5,229.44,-8.00,26.90,14.65,0.50,1.63,100851.49,0.00,0.00
1970-08-08,"(34.0544, -118.2439)",era5,229.44,-8.00,27.11,14.04,0.48,1.94,100844.52,0.00,0.00
1970-08-09,"(34.0544, -118.2439)",era5,229.44,-8.00,26.00,13.26,0.49,1.90,100873.93,0.00,0.00
1970-08-10,"(34.0544, -118.2439)",era5,229.44,-8.00,25.56,13.24,0.49,1.70,101038.59,0.00,0.00
1970-08-11,"(34.0544, -118.2439)",era5,229.44,-8.00,24.83,14.26,0.54,1.74,101177.24,0.00,0.00
